row	col	numerator	denominator
1	1	1212414025023	165689187465215960
1	86	33178367615	15057555281184
1	171	33178367615	15057555281184
1	256	130231	9356200
2	2	-404138008341	165689187465215960
3	3	-404138008341	165689187465215960
4	4	-404138008341	165689187465215960
5	5	1	4
5	175	19	34
6	6	1	4
6	176	19	34
7	7	-1	4
8	8	-1	4
9	9	1	4
9	94	19	34
10	10	-1	4
11	11	1	4
11	96	19	34
12	12	-1	4
17	17	-2018015854913307	165689187465215960
17	187	-35886385137	627398136716
18	18	672671951637769	165689187465215960
19	19	672671951637769	165689187465215960
20	20	672671951637769	165689187465215960
21	21	134712669447	33137837493043192
21	66	-1500423697445	15057555281184
21	191	609836685317	5019185093728
21	236	-93731	9356200
22	22	-44904223149	33137837493043192
23	23	-44904223149	33137837493043192
24	24	-44904223149	33137837493043192
25	25	1	4
26	26	-1	4
27	27	1	4
28	28	-1	4
29	29	1	4
29	74	15	34
30	30	-1	4
31	31	1	4
31	76	15	34
32	32	-1	4
33	33	-2018015854913307	165689187465215960
33	118	-35886385137	627398136716
34	34	672671951637769	165689187465215960
35	35	672671951637769	165689187465215960
36	36	672671951637769	165689187465215960
37	37	1	4
38	38	1	4
39	39	-1	4
40	40	-1	4
41	41	134712669447	33137837493043192
41	126	609836685317	5019185093728
41	131	-1500423697445	15057555281184
41	216	-93731	9356200
42	42	-44904223149	33137837493043192
43	43	-44904223149	33137837493043192
44	44	-44904223149	33137837493043192
45	45	1	4
45	135	15	34
46	46	1	4
46	136	15	34
47	47	-1	4
48	48	-1	4
49	49	5138876220310563	82844593732607980
50	50	-1712958740103521	82844593732607980
51	51	-1712958740103521	82844593732607980
52	52	-1712958740103521	82844593732607980
53	53	-27592969685639	9467953569440912
53	98	-17584771851	1254796273432
54	54	27592969685639	28403860708322736
55	55	27592969685639	28403860708322736
56	56	27592969685639	28403860708322736
57	57	-27592969685639	9467953569440912
57	147	-17584771851	1254796273432
58	58	27592969685639	28403860708322736
59	59	27592969685639	28403860708322736
60	60	27592969685639	28403860708322736
61	61	74840371915	33137837493043192
61	106	556454647381	5019185093728
61	151	556454647381	5019185093728
61	196	57231	9356200
62	62	-74840371915	99413512479129576
63	63	-74840371915	99413512479129576
64	64	-74840371915	99413512479129576
65	65	11140963226837640945971	645751171257687817479248
65	235	369483377	11402668512
66	21	-1500423697445	15057555281184
66	66	-11139588458990034815105	645751171257687817479248
66	191	-22457	6762868
66	236	108257602823	2061063414630
67	67	-5776335494143407	5426480430736872415792
68	68	-5776335494143407	5426480430736872415792
69	69	1	4
69	239	19	34
70	70	1	4
70	240	19	34
71	71	-1	4
72	72	-1	4
73	73	-2	49
74	29	15	34
74	74	2	49
75	75	-2	49
76	31	15	34
76	76	2	49
81	81	275417476076501572734059	4681695991618236676724548
81	251	-16412027	316740792
82	82	-275413046268992619645713	4681695991618236676724548
82	252	-1151771764931	17519039024355
83	83	-641815054904823	1356620107684218103948
84	84	-641815054904823	1356620107684218103948
85	85	117971083026488163075	18726783966472946706898192
85	255	-2935	1266963168
86	1	33178367615	15057555281184
86	86	-95822045481722721345	18726783966472946706898192
86	171	94267	6762868
86	256	901966729	412212682926
87	87	-3209075274524115	5426480430736872415792
88	88	-3209075274524115	5426480430736872415792
89	89	19	68
90	90	-19	68
91	91	19	68
92	92	-19	68
93	93	-1	4
94	9	19	34
94	94	1	4
95	95	-1	4
96	11	19	34
96	96	1	4
97	97	-1776730281290212471994215	18726783966472946706898192
98	53	-17584771851	1254796273432
98	98	1832060779935542332755541	18726783966472946706898192
99	99	-8016589198106325813	5426480430736872415792
100	100	-8016589198106325813	5426480430736872415792
101	101	1	4
102	102	1	4
103	103	-1	4
104	104	-1	4
105	105	-191005367251643801382479	13376274261766390504927280
105	195	7156223	422321056
106	61	556454647381	5019185093728
106	106	191021187992747205269429	13376274261766390504927280
106	151	-49353	6762868
106	196	13188857081	229007046070
107	107	-3209075274524115	5426480430736872415792
108	108	-3209075274524115	5426480430736872415792
109	109	1	4
109	199	15	34
110	110	1	4
110	200	15	34
111	111	-1	4
112	112	-1	4
113	113	-140288840030435750023919	56180351899418840120694576
114	114	-203922515080037732710801	18726783966472946706898192
115	115	108962095808540850211	16279441292210617247376
116	116	108962095808540850211	16279441292210617247376
117	117	-69536938321055756280201	2340847995809118338362274
118	33	-35886385137	627398136716
118	118	82116340169106932173495	2340847995809118338362274
119	119	-1822573434953806997	678310053842109051974
120	120	-1822573434953806997	678310053842109051974
121	121	826220969274030988025357	14045087974854710030173644
121	211	-123388	2083821
122	122	-275404528753838688737149	4681695991618236676724548
122	212	-909293716151	17519039024355
123	123	-1069691758174705	4069860323052654311844
124	124	-1069691758174705	4069860323052654311844
125	125	196618471710813605125	56180351899418840120694576
125	215	-2935	1266963168
126	41	609836685317	5019185093728
126	126	-53234469712068178525	18726783966472946706898192
126	131	-22457	6762868
126	216	-14603357995	137404227642
127	127	-5348458790873525	16279441292210617247376
128	128	-5348458790873525	16279441292210617247376
129	129	11140963226837640945971	645751171257687817479248
129	214	369483377	11402668512
130	130	-5776335494143407	5426480430736872415792
131	41	-1500423697445	15057555281184
131	126	-22457	6762868
131	131	-11139588458990034815105	645751171257687817479248
131	216	108257602823	2061063414630
132	132	-5776335494143407	5426480430736872415792
133	133	-2	49
134	134	-2	49
135	45	15	34
135	135	2	49
136	46	15	34
136	136	2	49
137	137	1	4
137	222	19	34
138	138	-1	4
139	139	1	4
139	224	19	34
